iter	Passed	Remaining
0	1	151
1	2	120
2	3	118
3	4	106
4	5	106
5	6	104
6	7	100
7	8	99
8	9	97
9	10	95
10	11	92
11	12	91
12	13	89
13	14	87
14	15	86
15	16	85
16	17	84
17	18	83
18	19	82
19	20	81
20	21	80
21	22	79
22	23	78
23	24	77
24	25	76
25	26	75
26	27	74
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	39	63
38	40	62
39	41	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	59	42
58	60	41
59	61	41
60	62	40
61	63	38
62	64	37
63	65	36
64	66	36
65	68	35
66	69	34
67	70	33
68	71	31
69	72	30
70	73	29
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
